student_id,age,gender,graduation_percentage,graduation_stream,prep_months,daily_study_hours,mock_tests_attempted,revision_cycles,attempt_number,ncert_read,standard_books,coaching,online_resources,gs_history,gs_geography,gs_polity,gs_economy,gs_sciencetech,gs_environment,gs_currentaffairs,gs_artculture,gs_total_score,csat_comprehension,csat_logicalreasoning,csat_quantitative,csat_datainterpretation,csat_decisionmaking,csat_total_score,csat_qualified,weekly_quizzes,avg_quiz_score,study_streak_days,test_attendance_percent,target,gs_history_pct,gs_geography_pct,gs_polity_pct,gs_economy_pct,gs_sciencetech_pct,gs_environment_pct,gs_currentaffairs_pct,gs_artculture_pct,csat_comprehension_pct,csat_logicalreasoning_pct,csat_quantitative_pct,csat_datainterpretation_pct,csat_decisionmaking_pct,gs_average_pct,csat_average_pct,overall_score,performance_category,weak_subjects_count,very_weak_subjects,strong_subjects_count,weakest_subject,weakest_subject_score,strongest_subject,strongest_subject_score,study_efficiency,mock_efficiency,subject_variance,consistency_score,improvement_needed,quick_wins_count,estimated_hours_needed,test_readiness,streak_quality,revision_effectiveness,weekly_study_hours,preparation_intensity,csat_risk,overall_risk,qualification_probability,gender_encoded,coaching_encoded,graduation_stream_encoded,target_encoded,has_coaching,regular_quiz_taker,high_mock_tester,consistent_student,ncert_reader,standard_books_user
1,27,Female,75,Medical,3,11.7,92,1,3,1,1,1,1,18.7,16.1,11.2,9.5,12.8,22.0,11.0,9.5,112.6,20.9,17.7,19.9,7.9,13.8,84.6,1,5,70.5,38,69.5,1,74.8,64.4,44.8,38.0,51.2,88.0,44.0,38.0,59.20679886685553,60.0,65.89403973509933,30.50193050193051,59.74025974025974,55.4,55.06860576882902,55.3005817306487,Average,4,0,1,economy,38.0,environment,88.0,4.354376514224308,0.5946299110822441,340.8,45.20371740039232,14.699418269351298,3,29.398836538702596,70.0,444.59999999999997,0.705,81.89999999999999,35.099999999999994,Low,Low,0.5874350685611864,0,1,3,1,1,1,1,1,1,1
2,24,Female,71,Engineering,32,6.9,30,1,3,1,1,0,1,7.2,9.8,10.4,12.6,10.4,9.7,15.2,13.2,89.2,12.3,19.8,8.7,9.1,15.3,65.4,0,9,65.6,14,30.4,0,28.8,39.2,41.6,50.4,41.6,38.8,60.8,52.8,34.84419263456091,67.11864406779662,28.807947019867548,35.13513513513514,66.23376623376623,44.25,46.427937018225286,44.90338110546758,Needs Improvement,5,1,0,history,28.8,currentaffairs,60.8,5.683972291831339,1.4484961646925025,98.96857142857141,84.08711910657436,25.09661889453242,4,50.19323778906484,48.0,96.60000000000001,0.6559999999999999,48.300000000000004,220.8,Medium,Medium,0.41586423216625973,0,0,2,0,1,1,0,0,1,1
3,33,Male,76,Arts,47,7.8,63,8,6,0,1,0,0,17.9,25.0,16.2,13.1,20.8,14.3,13.3,11.2,132.1,26.1,14.0,12.7,8.5,15.1,77.0,1,4,94.9,26,92.6,1,71.6,100.0,64.8,52.4,83.2,57.2,53.2,44.8,73.93767705382437,47.45762711864407,42.05298013245033,32.818532818532816,65.36796536796537,65.89999999999999,52.326956498283394,61.828086949485005,Good,1,0,2,artculture,44.8,geography,100.0,7.025918971532386,0.9660638585857032,337.1771428571429,45.78622650783951,8.171913050514995,4,16.34382610102999,93.75,202.79999999999998,7.5920000000000005,54.6,366.59999999999997,Low,Low,0.6875175674184502,1,0,0,1,1,1,1,0,0,1
4,31,Female,91,Science,34,3.0,70,1,4,1,1,1,1,11.5,10.5,6.9,10.8,14.4,8.5,11.3,13.2,86.1,18.8,26.7,20.9,20.0,15.8,104.2,1,5,84.5,25,67.3,0,46.0,42.0,27.6,43.2,57.6,34.0,45.2,52.8,53.25779036827196,90.50847457627118,69.20529801324503,77.22007722007721,68.3982683982684,43.550000000000004,71.71798171522676,52.00039451456803,Average,6,2,0,polity,27.6,sciencetech,57.6,13.000098628642007,0.7323999227403948,91.40285714285713,85.303589230013,17.99960548543197,6,35.99921097086394,75.9,75.0,0.845,21.0,102.0,Low,Medium,0.5332905843512696,0,1,4,0,1,1,1,0,1,1
5,28,Male,69,Engineering,30,4.4,32,5,3,1,1,1,1,12.5,10.9,20.1,19.9,9.1,12.2,10.8,10.4,105.9,19.4,16.8,5.9,10.7,9.8,64.8,0,3,61.8,24,61.6,0,50.0,43.6,80.4,79.6,36.4,48.8,43.2,41.6,54.95750708215298,56.949152542372886,19.536423841059605,41.312741312741316,42.42424242424242,52.95,43.03601344051384,49.97580403215415,Average,5,0,2,sciencetech,36.4,polity,80.4,9.254778524472991,1.5144183040046713,296.4085714285714,52.34129153478287,20.02419596784585,5,40.0483919356917,61.7,105.60000000000001,3.09,30.800000000000004,132.0,Medium,Medium,0.49959673395667664,1,1,2,0,1,0,0,0,1,1
6,33,Male,89,Arts,23,6.3,84,1,5,1,1,0,1,10.5,7.9,11.4,7.5,9.6,5.4,15.2,12.5,79.2,24.4,11.5,11.2,14.2,10.2,74.7,1,0,66.2,23,95.9,0,42.0,31.6,45.6,30.0,38.4,21.6,60.8,50.0,69.12181303116147,38.983050847457626,37.086092715231786,54.826254826254825,44.15584415584415,40.0,48.834611115189965,42.65038333455699,Needs Improvement,6,3,0,environment,21.6,currentaffairs,60.8,5.842518265007807,0.5017692157006705,154.23999999999998,75.2001800816799,27.34961666544301,3,54.69923333088602,81.05000000000001,144.9,0.662,44.1,144.9,Medium,Medium,0.37989958793042,1,0,0,0,1,0,1,0,1,1
7,25,Male,82,Science,15,3.4,1,4,6,0,1,0,0,6.1,5.2,5.7,7.8,8.2,2.3,4.7,4.1,42.8,18.6,10.3,7.4,7.3,10.8,51.8,0,8,53.5,17,81.1,0,24.4,20.8,22.8,31.2,32.8,9.2,18.8,16.4,52.691218130311626,34.91525423728814,24.50331125827815,28.185328185328185,46.75324675324675,22.05,37.409671712890564,26.657901513867166,Needs Improvement,8,8,0,environment,9.2,sciencetech,32.8,6.058613980424355,13.328950756933583,59.219999999999985,90.47818117503296,43.342098486132834,0,86.68419697226567,67.3,57.8,2.14,23.8,51.0,Medium,High,0.17420124433768824,1,0,4,0,1,1,0,0,0,1
8,27,Female,61,Engineering,29,8.8,17,3,5,1,0,0,0,14.4,10.5,13.1,15.1,6.4,13.4,3.3,10.3,84.9,22.0,18.5,8.6,11.4,14.0,74.7,1,5,81.5,20,53.6,0,57.6,42.0,52.4,60.4,25.6,53.6,13.2,41.2,62.3229461756374,62.71186440677966,28.47682119205298,44.015444015444025,60.60606060606061,43.25,51.62662727919494,45.76298818375848,Average,4,2,0,currentaffairs,13.2,economy,60.4,4.66969267181209,2.5423882324310267,273.0257142857143,56.100955994836426,24.23701181624152,5,48.47402363248304,67.55,176.0,2.445,61.60000000000001,255.20000000000002,Low,Medium,0.4298489508335869,0,0,2,0,1,1,0,0,1,0
9,30,Male,86,Science,38,7.5,46,6,6,1,1,1,0,10.5,10.3,16.2,12.3,20.2,13.8,14.2,15.3,114.0,24.3,23.1,9.2,17.7,17.4,94.2,1,7,86.5,11,95.5,1,42.0,41.2,64.8,49.2,80.8,55.2,56.8,61.2,68.83852691218131,78.30508474576273,30.4635761589404,68.33976833976834,75.32467532467531,56.4,64.25432629626562,58.756297888879686,Average,3,0,1,geography,41.2,sciencetech,80.8,6.9125056339858455,1.250133997635738,168.68571428571425,72.87749392454026,11.243702111120314,5,22.487404222240627,91.0,82.5,5.1899999999999995,52.5,285.0,Low,Low,0.6419305578894187,1,1,4,1,1,1,0,0,1,1
10,23,Male,65,Arts,9,8.3,32,6,5,1,1,0,0,8.5,8.8,10.1,6.3,11.1,8.0,15.6,9.4,77.7,20.1,13.7,14.5,7.6,9.8,63.6,0,7,93.1,25,89.6,0,34.0,35.2,40.4,25.2,44.4,32.0,62.4,37.6,56.94050991501417,46.44067796610169,48.01324503311258,29.343629343629345,42.42424242424242,38.9,44.632460936420046,40.61973828092601,Needs Improvement,7,3,0,economy,25.2,currentaffairs,62.4,4.367713793647957,1.2309011600280608,122.77714285714285,80.25900523247535,29.380261719073992,2,58.760523438147985,91.35,207.50000000000003,5.585999999999999,58.10000000000001,74.7,Medium,Medium,0.3485654800468278,1,0,0,0,1,1,0,0,1,1
